Entity,Code,region,Year,extreme_poverty_pct,extreme_poverty_pct_rank,undernourishment_pct,undernourishment_pct_rank,population,population_rank,gdp_per_capita,gdp_per_capita_rank,co2_emissions,co2_emissions_rank,life_expectancy,life_expectancy_rank
Sri Lanka,LKA,Asia,2022,,65,6.1,36,22834965,55,10705.481,34,18376960,52,77.2996,17
Syria,SYR,Asia,2022,17.96185076,6,35.9,5,22462170,57,2494.7612,57,31423332,45,72.7898,33
Taiwan,TWN,Asia,2022,,66,3.9,47,23420107,53,53142.984,3,273988830,23,80.1569,10
Tanzania,TZA,Africa,2022,,67,21.4,12,64711822,22,3057.3286,53,19702384,50,66.8786,50
Thailand,THA,Asia,2022,0.020269364,30,5.1,45,71735321,19,16421.072,23,272573380,24,75.2913,25
Turkey,TUR,Asia,2022,0.529579725,26,2.5,69,87058469,17,27361.988,14,443602700,13,77.5913,15
Uganda,UGA,Africa,2022,,68,24.2,9,47312718,30,2122.0278,60,6128251,64,67.6747,47
Ukraine,UKR,Europe,2022,,69,6,37,41048768,34,7749.0996,41,143039870,32,72.6582,34
United Kingdom,GBR,Europe,2022,,70,2.5,70,68179315,20,38406.53,10,311118000,19,81.0744,8
United States,USA,North America,2022,1.400000043,21,2.5,71,341534041,3,58487.465,1,5055403000,2,77.9789,13
Uzbekistan,UZB,Asia,2022,4.392937571,15,2.5,72,34938953,40,12559.401,32,119105480,35,72.1465,37
Venezuela,VEN,South America,2022,,71,7.3,31,28213015,49,5267.1753,44,108423500,36,72.5656,35
Vietnam,VNM,Asia,2022,1.603359729,19,5.4,41,99680656,15,8050.359,38,322653150,17,74.5025,29
Zambia,ZMB,Africa,2022,71.65614963,2,36.2,4,20152935,59,3342.4214,52,10938910,58,65.2791,55
Zimbabwe,ZWE,Africa,2022,,72,21.4,13,16069061,70,1703.5294,63,12231845,57,62.3601,62
