title,artist,genre,year,bpm,energy,danceability,duration_sec,acousticness,speechiness,popularity
Till the World Ends,Britney Spears,Dance pop,2011,132,71,69,238,2,7,65
I Wanna Go,Britney Spears,Dance pop,2011,130,55,70,210,0,4,64
Blow,Kesha,Dance pop,2011,120,73,75,220,0,4,64
You And I,Lady Gaga,Dance pop,2011,127,70,52,307,9,5,64
Judas,Lady Gaga,Dance pop,2011,131,93,66,249,0,7,63
Tonight (I'm Fuckin' You),Enrique Iglesias,Dance pop,2011,126,89,65,232,3,5,63
Please Don't Go,Mike Posner,Dance pop,2011,120,88,70,197,0,3,63
We Found Love,Rihanna,Pop,2011,128,77,73,215,3,4,61
Marry The Night,Lady Gaga,Dance pop,2011,131,88,61,265,0,6,61
1+1,Beyoncé,Dance pop,2011,63,38,30,274,38,3,60
Hold It Against Me,Britney Spears,Dance pop,2011,133,72,65,229,1,4,59
I'm Into You,Jennifer Lopez,Dance pop,2011,84,75,59,200,2,14,59
Papi,Jennifer Lopez,Dance pop,2011,120,81,71,223,13,6,58
Cheers (Drink To That),Rihanna,Pop,2011,80,91,58,262,2,4,58
S&M Remix,Rihanna,Pop,2011,128,81,82,257,5,5,54
Written in the Stars (feat. Eric Turner),Tinie Tempah,Dance pop,2011,91,95,64,220,6,7,52
Jar of Hearts,Christina Perri,Dance pop,2011,75,35,35,247,73,3,50
Castle Walls (feat. Christina Aguilera),T.I.,Hip-hop/R&B,2011,80,86,45,329,7,39,49
Turning Page,Sleeping At Last,Acoustic/Folk,2011,125,38,30,255,91,3,46
Super Bass,Nicki Minaj,Dance pop,2011,127,74,77,201,6,23,38
Raise Your Glass,P!nk,Dance pop,2011,122,64,68,208,0,12,38
Invading My Mind,Jennifer Lopez,Dance pop,2011,129,88,73,201,2,7,31
Moment 4 Life - Album Version (Edited),Nicki Minaj,Dance pop,2011,130,88,50,279,39,38,28
Last Friday Night (T.G.I.F.),Katy Perry,Dance pop,2011,126,81,65,231,0,4,27
Firework,Katy Perry,Dance pop,2011,124,83,64,228,14,5,25
Muny - Album Version (Edited),Nicki Minaj,Dance pop,2011,98,72,80,227,56,33,7
Titanium (feat. Sia),David Guetta,Dance pop,2012,126,79,60,245,7,10,80
